week,month,year,TEHSILS,TOTAL SPOTS VISITED,TOTAL AREA VISITED,temperature_2m_mean,temperature_2m_max,temperature_2m_min,dew_point_2m_mean,daily_gdd,weekly_gdd,cumulative_gdd,N,P,K,humidity,ph,rainfall,W. FLY (%),JASSID (%),THRIPS (%),M.BUG (%),MITES (%),APHIDS (%),DUSKY COTTON BUG (%),SBW (%),PBW (%),ABW (%),Army Worm (%)
1,5,2022,multan,15,42.0,35.30768,44.238926,26.596071,2.2663097,20.0,140.0,187.57952690124512,91.0,53.0,40.0,81.41753846,5.386167788,264.6148697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,2022,shujabad,15,62.0,35.30768,44.238926,26.596071,2.2663097,20.0,140.0,187.57952690124512,117.0,6.0,21.0,65.44544859,6.868881708,85.37378769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.666666666666664
1,5,2022,jalal pur p.w,9,36.0,35.30768,44.238926,26.596071,2.2663097,20.0,140.0,187.57952690124512,82.0,69.0,20.0,91.35349216,7.207991261,44.07819743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,2022,khanewal,14,128.0,35.30768,44.238926,26.596071,2.2663097,20.0,140.0,187.57952690124512,89.0,54.0,38.0,83.5352163,6.685346424,230.4462359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,2022,jahanian,15,74.0,35.30768,44.238926,26.596071,2.2663097,20.0,140.0,187.57952690124512,52.0,21.0,202.0,88.6984228,6.03160778,66.70016285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,2022,kabir wala,14,99.0,35.30768,44.238926,26.596071,2.2663097,20.0,140.0,187.57952690124512,94.0,59.0,20.0,86.14585891,6.447662945,205.5720367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,2022,mian channu,14,53.0,35.30768,44.238926,26.596071,2.2663097,20.0,140.0,187.57952690124512,89.0,137.0,52.0,65.8108757,6.742490027,108.065579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,2022,vehari,15,53.0,35.30768,44.238926,26.596071,2.2663097,20.0,140.0,187.57952690124512,120.0,68.0,45.0,93.56585985,5.560224583,72.17818157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,2022,mailsi,15,145.0,35.30768,44.238926,26.596071,2.2663097,20.0,140.0,187.57952690124512,21.0,41.0,10.0,71.59722446,6.0967531,295.9248796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,2022,burewala,15,50.0,35.30768,44.238926,26.596071,2.2663097,20.0,140.0,187.57952690124512,83.0,76.0,24.0,18.71483156,6.030447288,69.30772897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,2022,lodhran,20,76.0,35.30768,44.238926,26.596071,2.2663097,20.0,140.0,187.57952690124512,68.0,58.0,38.0,83.03322691,6.336253525,221.2091958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,2022,dunya pur,22,80.0,35.30768,44.238926,26.596071,2.2663097,20.0,140.0,187.57952690124512,87.0,17.0,24.0,61.09387478,6.573531614,119.1025189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,2022,kehror pacca,25,144.0,35.30768,44.238926,26.596071,2.2663097,20.0,140.0,187.57952690124512,99.0,24.0,53.0,18.74943955,6.691690476,72.66666443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,2022,sahiwal,39,215.0,35.30768,44.238926,26.596071,2.2663097,20.0,140.0,187.57952690124512,78.0,58.0,44.0,80.88684822,5.108681786,284.4364567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.82051282051282
1,5,2022,chicha watni,31,217.0,35.30768,44.238926,26.596071,2.2663097,20.0,140.0,187.57952690124512,25.0,56.0,205.0,77.90621048,6.011302181,36.92629678,0.0,10.32258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.290322580645157
1,5,2022,pak pattan,7,23.0,35.30768,44.238926,26.596071,2.2663097,20.0,140.0,187.57952690124512,26.0,134.0,55.0,76.85691248,6.562594972,72.82902109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.2857142857143
1,5,2022,arif wala,13,47.0,35.30768,44.238926,26.596071,2.2663097,20.0,140.0,187.57952690124512,89.0,60.0,84.0,31.94550613,6.27339822,68.66813363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,2022,okara,19,35.0,35.30768,44.238926,26.596071,2.2663097,20.0,140.0,187.57952690124512,93.0,56.0,36.0,82.05687182,6.98435366,185.2773389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.15789473684211
1,5,2022,renala khurd,9,24.0,35.30768,44.238926,26.596071,2.2663097,20.0,140.0,187.57952690124512,8.0,61.0,26.0,45.58110023,6.459252023,51.54922825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.66666666666669
1,5,2022,depalpur,11,79.0,35.30768,44.238926,26.596071,2.2663097,20.0,140.0,187.57952690124512,25.0,130.0,197.0,81.91411159,5.940546818,88.45361858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.45454545454547
1,5,2022,bahawalpur,28,91.0,35.30768,44.238926,26.596071,2.2663097,20.0,140.0,187.57952690124512,16.0,80.0,24.0,15.85622899,6.842744374,71.03001556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,2022,a.p.east,21,143.0,35.30768,44.238926,26.596071,2.2663097,20.0,140.0,187.57952690124512,32.0,31.0,31.0,71.23690851,6.658605362,30.92014047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,2022,yazman,12,45.0,35.30768,44.238926,26.596071,2.2663097,20.0,140.0,187.57952690124512,120.0,120.0,52.0,60.24218572,4.964887857,61.82980133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
